file,source_sha256,output,output_sha256,width,height,format,source_bytes,output_bytes
po_mi_m_sf16_s.tga,4b4a46e3f4f8c8f6548d491ea91ac74d748a4f3eba7798d0bb387727b7364364,po_mi_m_sf16_s.dds,aab935cef27dc8ed4fade4f668bd6dc99409dad5ad80a201db5184965f277ee1,32,64,DXT1,6162,1152
po_mi_m_sf16_t.tga,99ccc737679e4e37ee3e0feb28ebf338195fb0d4d5b4ebad0b028249b3387163,po_mi_m_sf16_t.dds,203a2669f74185763c1aa5c45d349dfc06bcdda1a3814bd722c0d713c6f2c07f,16,32,DXT1,1554,384
po_mi_m_sf17_l.tga,0642ced4970f14159192955da2aad722f321e51c64fe9d33040f9cfc68932653,po_mi_m_sf17_l.dds,d4dad6771bc672e2b688e126bd759dcb0f9af9af67fe5d4373a06efbcdc3a3bd,128,256,DXT1,98322,16512
po_mi_m_sf17_m.tga,1758ef1c965f47b65a1f8f9b92cd95607a4f868bc5f4c6c7cdaaba415a1b52ac,po_mi_m_sf17_m.dds,314b418ceb3c66bae6240fa58918960a242c55c12546e7c0f6601606a1433020,64,128,DXT1,24620,4224
po_mi_m_sf17_s.tga,213be0a0b3b1263f67f10f6ffa3e4bfda9dc59d001e247ff4203f28190416c0f,po_mi_m_sf17_s.dds,f6f758057c588e46f8cd1547c20d0e00bbb5a90bdf70c745aba323b5869c90f7,32,64,DXT1,6162,1152
po_mi_m_sf17_t.tga,18a6b15324024eaa98b39df27facfbabfb907471fcd2309bbcccc398b843ba3e,po_mi_m_sf17_t.dds,a9ed4514bae40ac908620abeeb147c23bbdee94f90ef244a3b618ab42631c470,16,32,DXT1,1554,384
po_mi_m_sf20_l.tga,7187c5747b69b9ab80453a29f8adf317e1ebe43d4eea38f878ce0d730b30062a,po_mi_m_sf20_l.dds,557bf6908e7f4ba710a17e80209b4b5bdfb4e8c66602d9cab0a6b8cf8e5905ec,128,256,DXT1,98322,16512
po_mi_m_sf20_m.tga,ce4fd9d1ab35e0b291fecc6dd19fe2b779ece1ce91d3e69835698c21ffa5b70d,po_mi_m_sf20_m.dds,8f8b2943d3ffbe70dd8e7d1758f3de4db774f621a8d4db3dabee185fb7d448b7,64,128,DXT1,24594,4224
po_mi_m_sf20_s.tga,84e376a89e600fd465b0fc235ca475e7f5550f2a06d6b604a7b3960d27db75a4,po_mi_m_sf20_s.dds,784cbcb9ec536bce7ed62d0c5ab879e73b5e2649cbdbeda5e6beda6aface7e13,32,64,DXT1,6162,1152
po_mi_m_sf20_t.tga,2e53db739d648156def31a842f1e48778a02e79cd79652b79feddc16cad9a0e7,po_mi_m_sf20_t.dds,b75260fbb361b5831c97f16193844975c957563e7c109697d6d5226d6789fef3,16,32,DXT1,1554,384
po_mi_m_sf21_l.tga,4aa7e7445e2546661dad68cca7c2d59c57dbc92fe33edcde168f1343fc521a82,po_mi_m_sf21_l.dds,652a41de8139d361f4e41977f1653000c0b7a48be14faaabd4b62b4e65bb66ad,128,256,DXT1,98322,16512
