file,canonical,reason,original_sha256,corrected_sha256,canonical_sha256
po_dcurtain063_m.tga,po_dcurtain063_l.tga,image comparison and visual review,68a74559838fe5926f6370976ee17faadca94d055b3a400ee07ac66dc4962728,ea35309754a28605fd97ef29efb22cce2ab3dfa0a3dc2d1ec19ddca9fc9f44c6,ec4c86170c2ff48c7f693c876cf9b62fba46700955286858b9c2731e9258dea0
po_dcurtain064_m.tga,po_dcurtain064_l.tga,image comparison and visual review,c3ffe7d36c18125126a1c6ba30cd404daf9d1eda7b79bcea4c173e9b60c8ba6f,22198158227102f841a5f5609ca5c6f9e1ab38fbf006ca4fc47d97fe2c160d26,f32cb65572237b4d09d1182cf107fe45adf304133b1589b70d25f31cdbd6fc0a
po_dcurtain066_m.tga,po_dcurtain066_l.tga,image comparison and visual review,527581990fd45777319c268d95c14ea583281ccc5a9e3814d6cecdffd19f74ca,b1b6ede8058188e0f46a7693b42cc6b51ce73ef0daec9a93901a0c031e1a0454,b1fc4e8fb16dcef265af7e23acfe82b36087c1592fd9fef5a0f1bef978dd8269
po_dcurtain067_m.tga,po_dcurtain067_l.tga,image comparison and visual review,666defcb54d36006706f2434987c86c697ff002a324d9bdf9c3f9a4aa9494321,758d8536f519680e3443179863b93da2beffcf86ce99745b2dbd03d514d62f32,35bc18ab8a0b83dd85cbb5e2f77b643d07e72c4b0bec700e3c2f5b767fffd437
po_devilb_m.tga,po_devilb_l.tga,image comparison and visual review,b9fea972b050f61df0ea9e54fc0ac6a9a790adead70f1ebd8f56ad9db92e2bad,87aa872052a1ca8c428d05d1d72358a7da1e46658aa9d1a5d22b8f8333861b85,cae742509a1112449e9b4d2a6b38a1824cd1904c98c8da6e3be1f3738358b720
po_dmvrock2_m.tga,po_dmvrock2_l.tga,image comparison and visual review,3ebc01421f2fc0e83c1c840738b8c621d6e743a876e96d9a7f1b6012b53b44ea,8af2b6dfef2a427da3debea7cd1ae625502b2c838a7cc8dcaec1f40e0efb3e40,2e16f0ce4d8f3ef3a61f228f380c94749780d815208964c5015d80c3299d57ef
po_dmvrock2_s.tga,po_dmvrock2_l.tga,image comparison and visual review,624a00ee4c08f132393205f83c3521cfc69573206262a484051fcd17d23c49be,8e438a19103b9e4d93e69075f61cedf2b5b0499395e8c9fae5e06b1c916f6c6a,2e16f0ce4d8f3ef3a61f228f380c94749780d815208964c5015d80c3299d57ef
po_dplt1b1_s.tga,po_dplt1b1_m.tga,visual review of structural asymmetry,475b49dab5d2f32404b9a2c7f9319165eafcdd7c81ffbab6104871e89415206d,223ff8d48002200680e2ff0dc4f1ea000afe03fc6b37d5059726428011de9405,1012c2965318391c283ec86e070457ff334d624cf0fab2e8ca2421205275a55f
po_dplt1b1_t.tga,po_dplt1b1_m.tga,visual review of structural asymmetry,bee83060ffe9fe6d82f5b412eb0e701b6bab518e2aade01b55ffcd92e46f2fa7,ce63714f2c3a9698b2a8df766a8d9f721735e51b9abe3997e40cb5d1c1eaf0a7,1012c2965318391c283ec86e070457ff334d624cf0fab2e8ca2421205275a55f
po_dplt1b2_s.tga,po_dplt1b2_m.tga,visual review of structural asymmetry,d70c5eb8723458629f0acbdb786292bfe61cc6709267e7269452c0e99470f3fb,8c246f399c7d712d04fc2016a93e068bbfe760bb0ce10b0f02845283ac54a203,61e228641f503e6ed6cb0e331519ad217cf0d713ee287d831e801cc6ff2897aa
po_dplt1b2_t.tga,po_dplt1b2_m.tga,visual review of structural asymmetry,c2171a4984de8f6fcc3395de93678342c1ecc61eddbfb26441c7be380a096a5f,fd9e985d1fc1bd238de8225848b92fe30d561e5f20a0904dadcdda9ce2f1047b,61e228641f503e6ed6cb0e331519ad217cf0d713ee287d831e801cc6ff2897aa
po_dplt1b3_s.tga,po_dplt1b3_m.tga,visual review of structural asymmetry,4fc70e1e96d8b6baf9f854eef40dd1c2fa7f6208b3e8eeb8d8904be616187fac,5c37390d3fbd196ff255b339a0884e5a489436fae094199daafdfd054b196ecc,14982ca998b0a7d18698f55c130037305148b30c45f4c801f0743e7f3c73e223
po_dplt1b3_t.tga,po_dplt1b3_m.tga,visual review of structural asymmetry,7be94d86bde19a5ef27829dcdbf8601727ada1aac4f00791773690927ae87daf,d2b4ada9f97d1eaac6b5ed809d4ecc33fee27cba56f9bf3448ca311f903a0703,14982ca998b0a7d18698f55c130037305148b30c45f4c801f0743e7f3c73e223
po_dplt2b1_s.tga,po_dplt2b1_m.tga,image comparison and visual review,a75baf58c4db3437d54d95f1474861fc790366a19875508eb7383e3fd2404480,a6fff3dedc6f580f2c7e5340ecf2382c10335b7dcad26a70bc4d6e69f5b1cf6d,8b15b4738a0c590c3a5a6864bd962c09cac04bdeaf5b51f35e31e998f7c95ff9
po_dplt2b1_t.tga,po_dplt2b1_m.tga,image comparison and visual review,3f2914f58a25c4090a9467f3eda74fa807d4beb62b8f82df4edc909976d06858,f569500f554dd0d1c0557e4cb0a15ba5ee07c042696397062cef1febe0080d45,8b15b4738a0c590c3a5a6864bd962c09cac04bdeaf5b51f35e31e998f7c95ff9
po_dplt2b2_s.tga,po_dplt2b2_m.tga,visual review of structural asymmetry,4b391867406ca38d1d4352f22db7ea69d530b8c57e0289fd08dade0dca5610e5,c251d13c14a55f79b8c45ed397f321aa93985299d96ecbdfc31dac02103f37e8,46d588fc796d264ff9f0c58717e534f00819d959b18fe545481981ac78eed6a4
po_dplt2b2_t.tga,po_dplt2b2_m.tga,visual review of structural asymmetry,a224c07155df0d6860af0128dd82b4b4bc1ced82237d422d8409277bc0da3e54,410f95b148ec9d12d46f227bafafb3773441512e46c73b1bb3875e97e4fff0b7,46d588fc796d264ff9f0c58717e534f00819d959b18fe545481981ac78eed6a4
po_dplt2b3_s.tga,po_dplt2b3_m.tga,visual review of structural asymmetry,f08a215b4eadf48ab4138881d3e44d10df09f028a39411f7933c2f3bcfaa2cbd,54df745c6a89f62fe1af6b912d116217359535c3bbd2f5c7376e26b3cfc3ec6b,cd4e1abea1cd2a9a5308266087f6acc4113c03325e3d4a26a7a57c646d7847ca
po_dplt2b3_t.tga,po_dplt2b3_m.tga,visual review of structural asymmetry,18d3bb646270162222ece4d81a7df51e06859f4c00713efcf39570d83580e75f,b96d08623ca87b2b60ae3ccee59bcaa3bb7c7e8f45e3889e96b5d7d9fd1ab27a,cd4e1abea1cd2a9a5308266087f6acc4113c03325e3d4a26a7a57c646d7847ca
po_dppru1_s.tga,po_dppru1_m.tga,image comparison and visual review,d49282787f82c4c17f0f04809479255765462d061fc734a6ec779b2db5feea31,ee1072d1398b470e907d3f0e0a5a40d67f7d2cd4a016ec4fdcb52c1fae5d6a5d,3aee9b31b1f983f82cdd55ce4e96fbcdd687f456b35c9e9da805de042db8baec
po_dppru1_t.tga,po_dppru1_m.tga,image comparison and visual review,e0846d0e135571cf66b099a61389469ae0157fd0ce080caeadd6ccba3fd481e8,c824b5d640a9cdba4b61f1c646f7f7ac2d2ca4370637453ae87b617415cfdc33,3aee9b31b1f983f82cdd55ce4e96fbcdd687f456b35c9e9da805de042db8baec
po_dppru2_s.tga,po_dppru2_m.tga,image comparison and visual review,d49fe049aba4c129a8fb26365a641dcccf34297290e92ddb389e91e0aa84b759,7b96105b9ec5c05064709cc262f9f55dc04d83104372f965a43b86552da6f0bc,f2f2d826b0ac3f565555a5818af108a61997fcf9f8ddb4669904f920208794a1
po_dppru2_t.tga,po_dppru2_m.tga,image comparison and visual review,7d7adadd308fcdfc05aedd3acf5e8bb8e4237d6cfebc3118e8137ed9a1bbea4e,29b89eb451069de249f5bfd3f748df24217f7d4cd3af62b241f1b6f4506eb450,f2f2d826b0ac3f565555a5818af108a61997fcf9f8ddb4669904f920208794a1
